id,user_id,order_date,status
1,25,2025-07-13,completed
2,85,2025-02-22,shipped
3,55,2025-06-14,shipped
4,94,2025-08-16,completed
5,84,2025-12-09,placed
6,8,2025-02-23,shipped
7,14,2025-06-06,completed
8,25,2025-04-15,returned
9,18,2025-08-06,shipped
10,36,2025-04-10,shipped
11,10,2025-05-16,shipped
12,13,2025-10-02,completed
13,70,2025-11-26,completed
14,97,2025-02-20,completed
15,53,2025-03-02,shipped
16,28,2025-08-23,shipped
17,22,2025-01-03,shipped
18,50,2025-01-02,completed
19,37,2025-08-09,shipped
20,94,2025-12-21,returned
21,92,2025-11-03,shipped
22,25,2025-03-24,completed
23,8,2025-04-28,returned
24,8,2025-09-26,placed
25,8,2025-06-21,completed
26,62,2025-10-20,returned
27,21,2025-09-20,completed
28,11,2025-09-09,completed
29,77,2025-02-08,completed
30,31,2025-12-10,shipped
31,73,2025-02-06,completed
32,77,2025-10-17,completed
33,11,2025-11-10,shipped
34,75,2025-11-01,returned
35,41,2025-09-16,completed
36,86,2025-04-21,placed
37,31,2025-06-21,completed
38,17,2025-07-07,placed
39,39,2025-11-23,shipped
40,97,2025-06-22,completed
41,59,2025-01-05,returned
42,13,2025-10-09,completed
43,28,2025-09-24,returned
44,17,2025-05-24,completed
45,32,2025-02-08,completed
46,21,2025-05-06,shipped
47,91,2025-09-27,completed
48,84,2025-11-06,returned
49,86,2025-01-05,returned
50,85,2025-05-14,completed
51,34,2025-03-13,completed
52,96,2025-02-27,returned
53,35,2025-03-24,completed
54,27,2025-10-02,placed
55,27,2025-06-08,placed
56,34,2025-11-17,returned
57,33,2025-09-27,completed
58,82,2025-02-20,shipped
59,6,2025-05-02,completed
60,99,2025-06-03,completed
61,34,2025-11-19,completed
62,71,2025-08-03,placed
63,72,2025-08-23,completed
64,10,2025-02-02,placed
65,70,2025-03-21,completed
66,75,2025-07-22,returned
67,56,2025-03-20,completed
68,40,2025-01-22,completed
69,46,2025-01-21,completed
70,32,2025-12-14,placed
71,46,2025-02-25,returned
72,80,2025-07-13,placed
73,31,2025-03-24,completed
74,53,2025-03-07,completed
75,95,2025-03-08,completed
76,86,2025-07-15,placed
77,35,2025-05-16,completed
78,14,2025-12-24,shipped
79,61,2025-01-20,completed
80,59,2025-04-19,completed
81,30,2025-06-17,completed
82,85,2025-01-13,completed
83,43,2025-07-09,completed
84,99,2025-02-08,completed
85,83,2025-06-12,returned
86,87,2025-07-09,returned
87,4,2025-06-02,completed
88,23,2025-05-22,returned
89,5,2025-05-24,completed
90,56,2025-10-26,completed
91,56,2025-06-21,returned
92,15,2025-09-10,shipped
93,25,2025-10-16,completed
94,91,2025-01-23,shipped
95,67,2025-01-01,returned
96,93,2025-12-16,placed
97,26,2025-12-08,completed
98,9,2025-08-25,placed
99,80,2025-06-02,completed
100,16,2025-11-04,placed
101,65,2025-05-14,completed
102,53,2025-12-06,completed
103,90,2025-07-11,completed
104,17,2025-10-04,completed
105,86,2025-07-20,shipped
106,96,2025-12-11,completed
107,73,2025-11-08,completed
108,71,2025-07-12,completed
109,37,2025-06-16,completed
110,75,2025-08-25,returned
111,42,2025-11-28,shipped
112,57,2025-08-03,placed
113,66,2025-04-26,shipped
114,85,2025-03-03,completed
115,66,2025-05-06,placed
116,80,2025-11-17,completed
117,97,2025-02-20,completed
118,40,2025-12-09,completed
119,19,2025-04-18,completed
120,32,2025-01-24,shipped
121,99,2025-11-05,completed
122,54,2025-08-10,placed
123,25,2025-10-15,placed
124,50,2025-12-21,shipped
125,32,2025-07-09,completed
126,89,2025-11-28,completed
127,100,2025-02-27,shipped
128,23,2025-04-01,placed
129,60,2025-09-14,completed
130,32,2025-10-06,completed
131,18,2025-08-10,shipped
132,68,2025-12-06,returned
133,41,2025-10-25,shipped
134,93,2025-11-06,returned
135,71,2025-08-23,shipped
136,96,2025-03-26,shipped
137,34,2025-08-07,completed
