id,order_id,payment_method,amount
1,1,bank_transfer,96.67
2,2,gift_card,32.5
3,3,gift_card,284.38
4,4,gift_card,280.13
5,5,coupon,127.57
6,6,gift_card,76.9
7,6,bank_transfer,118.16
8,7,credit_card,86.49
9,8,coupon,280.6
10,8,coupon,247.06
11,9,coupon,252.06
12,10,bank_transfer,136.73
13,10,gift_card,106.81
14,11,gift_card,280.19
15,11,bank_transfer,294.33
16,12,gift_card,73.9
17,13,credit_card,98.86
18,13,gift_card,213.04
19,14,gift_card,296.58
20,14,bank_transfer,151.12
21,15,bank_transfer,153.18
22,16,credit_card,262.89
23,17,credit_card,160.16
24,17,gift_card,9.53
25,18,gift_card,261.93
26,19,credit_card,143.5
27,20,coupon,188.86
28,21,credit_card,256.27
29,21,gift_card,286.47
30,22,credit_card,187.15
31,22,bank_transfer,191.19
32,23,bank_transfer,225.3
33,24,credit_card,229.31
34,24,credit_card,135.89
35,25,credit_card,18.57
36,26,coupon,110.75
37,27,bank_transfer,77.04
38,27,gift_card,171.95
39,28,bank_transfer,56.65
40,29,bank_transfer,151.81
41,29,bank_transfer,73.5
42,30,gift_card,80.32
43,31,gift_card,270.86
44,32,credit_card,135.31
45,33,coupon,193.49
46,34,coupon,139.77
47,34,coupon,63.77
48,35,gift_card,36.46
49,35,gift_card,173.72
50,36,coupon,11.47
51,37,coupon,7.39
52,37,credit_card,273.63
53,38,coupon,233.84
54,38,bank_transfer,184.08
55,39,bank_transfer,192.8
56,40,bank_transfer,190.33
57,41,coupon,237.64
58,42,coupon,221.05
59,43,coupon,101.38
60,44,bank_transfer,64.23
61,44,coupon,161.6
62,45,bank_transfer,80.81
63,46,coupon,225.24
64,46,coupon,242.25
65,47,credit_card,46.52
66,47,bank_transfer,258.74
67,48,coupon,31.64
68,48,gift_card,9.11
69,49,gift_card,113.73
70,50,gift_card,247.61
71,51,credit_card,204.08
72,52,credit_card,187.77
73,52,coupon,275.0
74,53,credit_card,192.44
75,54,coupon,196.53
76,54,credit_card,46.23
77,55,coupon,298.8
78,56,credit_card,74.27
79,57,gift_card,138.82
80,58,bank_transfer,266.2
81,58,credit_card,250.94
82,59,coupon,14.65
83,59,coupon,69.09
84,60,bank_transfer,257.36
85,60,credit_card,294.37
86,61,coupon,22.86
87,62,bank_transfer,290.62
88,63,credit_card,200.52
89,63,credit_card,19.92
90,64,bank_transfer,296.7
91,65,credit_card,249.8
92,66,bank_transfer,244.85
93,67,coupon,233.44
94,68,coupon,258.23
